 s,3346, t,0.00002, Cor,51411996253, PosCor,51411996253, NegCor,0, CorPosLog,35.581387, CorNegLog,0.000000, D,0.003545,
 s,3347, t,0.00004, Cor,10296399468, PosCor,10296399468, NegCor,0, CorPosLog,33.261421, CorNegLog,0.000000, D,0.007090,
 s,3348, t,0.00006, Cor,-38926162019, PosCor,0, NegCor,38926162019, CorPosLog,0.000000, CorNegLog,35.180019, D,0.010633,
 s,3349, t,0.00008, Cor,-62946488764, PosCor,0, NegCor,62946488764, CorPosLog,0.000000, CorNegLog,35.873405, D,0.014180,
 s,3350, t,0.00010, Cor,-45338773800, PosCor,0, NegCor,45338773800, CorPosLog,0.000000, CorNegLog,35.400024, D,0.017724,
 s,3351, t,0.00012, Cor,785176847, PosCor,785176847, NegCor,0, CorPosLog,29.548441, CorNegLog,0.000000, D,0.021269,
 s,3352, t,0.00015, Cor,42180934391, PosCor,42180934391, NegCor,0, CorPosLog,35.295872, CorNegLog,0.000000, D,0.024814,
 s,3353, t,0.00017, Cor,49788522505, PosCor,49788522505, NegCor,0, CorPosLog,35.535095, CorNegLog,0.000000, D,0.028358,
 s,3354, t,0.00019, Cor,20583630655, PosCor,20583630655, NegCor,0, CorPosLog,34.260780, CorNegLog,0.000000, D,0.031903,
 s,3355, t,0.00021, Cor,-20705650786, PosCor,0, NegCor,20705650786, CorPosLog,0.000000, CorNegLog,34.269302, D,0.035448,
 s,3356, t,0.00023, Cor,-41452425847, PosCor,0, NegCor,41452425847, CorPosLog,0.000000, CorNegLog,35.270737, D,0.038993,
 s,3357, t,0.00025, Cor,-26844894634, PosCor,0, NegCor,26844894634, CorPosLog,0.000000, CorNegLog,34.643929, D,0.042538,
 s,3358, t,0.00027, Cor,9124734679, PosCor,9124734679, NegCor,0, CorPosLog,33.087135, CorNegLog,0.000000, D,0.046082,
 s,3359, t,0.00029, Cor,35836374939, PosCor,35836374939, NegCor,0, CorPosLog,35.060703, CorNegLog,0.000000, D,0.049627,
 s,3360, t,0.00031, Cor,30603945828, PosCor,30603945828, NegCor,0, CorPosLog,34.832996, CorNegLog,0.000000, D,0.053172,
 s,3361, t,0.00033, Cor,-2189273158, PosCor,0, NegCor,2189273158, CorPosLog,0.000000, CorNegLog,31.027805, D,0.056717,
 s,3362, t,0.00035, Cor,-35014935756, PosCor,0, NegCor,35014935756, CorPosLog,0.000000, CorNegLog,35.027252, D,0.060261,
 s,3363, t,0.00037, Cor,-39474550394, PosCor,0, NegCor,39474550394, CorPosLog,0.000000, CorNegLog,35.200203, D,0.063806,
 s,3364, t,0.00040, Cor,-9912415675, PosCor,0, NegCor,9912415675, CorPosLog,0.000000, CorNegLog,33.206589, D,0.067351,
 s,3365, t,0.00042, Cor,31323503103, PosCor,31323503103, NegCor,0, CorPosLog,34.866528, CorNegLog,0.000000, D,0.070896,
 s,3366, t,0.00044, Cor,51150394482, PosCor,51150394482, NegCor,0, CorPosLog,35.574024, CorNegLog,0.000000, D,0.074441,
 s,3367, t,0.00046, Cor,32220424183, PosCor,32220424183, NegCor,0, CorPosLog,34.907257, CorNegLog,0.000000, D,0.077985,
 s,3368, t,0.00048, Cor,-12487941950, PosCor,0, NegCor,12487941950, CorPosLog,0.000000, CorNegLog,33.539818, D,0.081530,
 s,3369, t,0.00050, Cor,-49133408549, PosCor,0, NegCor,49133408549, CorPosLog,0.000000, CorNegLog,35.515987, D,0.085075,
