 s,3346, t,0.00002, Cor,52236903553, PosCor,52236903553, NegCor,0, CorPosLog,35.604347, CorNegLog,0.000000, D,0.003545,
 s,3347, t,0.00004, Cor,9738390929, PosCor,9738390929, NegCor,0, CorPosLog,33.181038, CorNegLog,0.000000, D,0.007090,
 s,3348, t,0.00006, Cor,-41564497951, PosCor,0, NegCor,41564497951, CorPosLog,0.000000, CorNegLog,35.274632, D,0.010633,
 s,3349, t,0.00008, Cor,-66454854231, PosCor,0, NegCor,66454854231, CorPosLog,0.000000, CorNegLog,35.951656, D,0.014180,
 s,3350, t,0.00010, Cor,-47299417435, PosCor,0, NegCor,47299417435, CorPosLog,0.000000, CorNegLog,35.461102, D,0.017724,
 s,3351, t,0.00012, Cor,2149641279, PosCor,2149641279, NegCor,0, CorPosLog,31.001450, CorNegLog,0.000000, D,0.021269,
 s,3352, t,0.00015, Cor,46373377608, PosCor,46373377608, NegCor,0, CorPosLog,35.432579, CorNegLog,0.000000, D,0.024814,
 s,3353, t,0.00017, Cor,54384882552, PosCor,54384882552, NegCor,0, CorPosLog,35.662487, CorNegLog,0.000000, D,0.028358,
 s,3354, t,0.00019, Cor,22879431639, PosCor,22879431639, NegCor,0, CorPosLog,34.413334, CorNegLog,0.000000, D,0.031903,
 s,3355, t,0.00021, Cor,-21688773776, PosCor,0, NegCor,21688773776, CorPosLog,0.000000, CorNegLog,34.336227, D,0.035448,
 s,3356, t,0.00023, Cor,-44514540012, PosCor,0, NegCor,44514540012, CorPosLog,0.000000, CorNegLog,35.373558, D,0.038993,
 s,3357, t,0.00025, Cor,-29799343413, PosCor,0, NegCor,29799343413, CorPosLog,0.000000, CorNegLog,34.794559, D,0.042538,
 s,3358, t,0.00027, Cor,7975884804, PosCor,7975884804, NegCor,0, CorPosLog,32.892998, CorNegLog,0.000000, D,0.046082,
 s,3359, t,0.00029, Cor,36236634192, PosCor,36236634192, NegCor,0, CorPosLog,35.076733, CorNegLog,0.000000, D,0.049627,
 s,3360, t,0.00031, Cor,31279730641, PosCor,31279730641, NegCor,0, CorPosLog,34.864510, CorNegLog,0.000000, D,0.053172,
 s,3361, t,0.00033, Cor,-2341139940, PosCor,0, NegCor,2341139940, CorPosLog,0.000000, CorNegLog,31.124565, D,0.056717,
 s,3362, t,0.00035, Cor,-35684255188, PosCor,0, NegCor,35684255188, CorPosLog,0.000000, CorNegLog,35.054569, D,0.060261,
 s,3363, t,0.00037, Cor,-39475649744, PosCor,0, NegCor,39475649744, CorPosLog,0.000000, CorNegLog,35.200245, D,0.063806,
 s,3364, t,0.00040, Cor,-8618787129, PosCor,0, NegCor,8618787129, CorPosLog,0.000000, CorNegLog,33.004837, D,0.067351,
 s,3365, t,0.00042, Cor,33360416237, PosCor,33360416237, NegCor,0, CorPosLog,34.957420, CorNegLog,0.000000, D,0.070896,
 s,3366, t,0.00044, Cor,52400741168, PosCor,52400741168, NegCor,0, CorPosLog,35.608868, CorNegLog,0.000000, D,0.074441,
 s,3367, t,0.00046, Cor,31535239765, PosCor,31535239765, NegCor,0, CorPosLog,34.876247, CorNegLog,0.000000, D,0.077985,
 s,3368, t,0.00048, Cor,-14811048177, PosCor,0, NegCor,14811048177, CorPosLog,0.000000, CorNegLog,33.785957, D,0.081530,
 s,3369, t,0.00050, Cor,-51502124662, PosCor,0, NegCor,51502124662, CorPosLog,0.000000, CorNegLog,35.583912, D,0.085075,
 s,3370, t,0.00052, Cor,-50038785004, PosCor,0, NegCor,50038785004, CorPosLog,0.000000, CorNegLog,35.542328, D,0.088620,
 s,3371, t,0.00054, Cor,-11003480303, PosCor,0, NegCor,11003480303, CorPosLog,0.000000, CorNegLog,33.357239, D,0.092165,
 s,3372, t,0.00056, Cor,36287893210, PosCor,36287893210, NegCor,0, CorPosLog,35.078770, CorNegLog,0.000000, D,0.095709,
 s,3373, t,0.00058, Cor,55993969436, PosCor,55993969436, NegCor,0, CorPosLog,35.704552, CorNegLog,0.000000, D,0.099254,
 s,3374, t,0.00060, Cor,33229187360, PosCor,33229187360, NegCor,0, CorPosLog,34.951733, CorNegLog,0.000000, D,0.102799,
 s,3375, t,0.00062, Cor,-14720068186, PosCor,0, NegCor,14720068186, CorPosLog,0.000000, CorNegLog,33.777065, D,0.106344,
 s,3376, t,0.00065, Cor,-51523344723, PosCor,0, NegCor,51523344723, CorPosLog,0.000000, CorNegLog,35.584507, D,0.109888,
 s,3377, t,0.00067, Cor,-49441437158, PosCor,0, NegCor,49441437158, CorPosLog,0.000000, CorNegLog,35.525002, D,0.113433,
 s,3378, t,0.00069, Cor,-10210732296, PosCor,0, NegCor,10210732296, CorPosLog,0.000000, CorNegLog,33.249367, D,0.116979,
 s,3379, t,0.00071, Cor,36674771826, PosCor,36674771826, NegCor,0, CorPosLog,35.094070, CorNegLog,0.000000, D,0.120523,
 s,3380, t,0.00073, Cor,56515231182, PosCor,56515231182, NegCor,0, CorPosLog,35.717922, CorNegLog,0.000000, D,0.124068,
 s,3381, t,0.00075, Cor,35170852867, PosCor,35170852867, NegCor,0, CorPosLog,35.033661, CorNegLog,0.000000, D,0.127612,
 s,3382, t,0.00077, Cor,-11056013476, PosCor,0, NegCor,11056013476, CorPosLog,0.000000, CorNegLog,33.364113, D,0.131157,
 s,3383, t,0.00079, Cor,-48350611826, PosCor,0, NegCor,48350611826, CorPosLog,0.000000, CorNegLog,35.492817, D,0.134703,
 s,3384, t,0.00081, Cor,-50810927879, PosCor,0, NegCor,50810927879, CorPosLog,0.000000, CorNegLog,35.564419, D,0.138247,
 s,3385, t,0.00083, Cor,-18760117126, PosCor,0, NegCor,18760117126, CorPosLog,0.000000, CorNegLog,34.126949, D,0.141792,
 s,3386, t,0.00085, Cor,23206130445, PosCor,23206130445, NegCor,0, CorPosLog,34.433784, CorNegLog,0.000000, D,0.145336,
 s,3387, t,0.00087, Cor,45710752165, PosCor,45710752165, NegCor,0, CorPosLog,35.411816, CorNegLog,0.000000, D,0.148881,
 s,3388, t,0.00090, Cor,35921289682, PosCor,35921289682, NegCor,0, CorPosLog,35.064121, CorNegLog,0.000000, D,0.152427,
 s,3389, t,0.00092, Cor,4944670382, PosCor,4944670382, NegCor,0, CorPosLog,32.203224, CorNegLog,0.000000, D,0.155972,
 s,3390, t,0.00094, Cor,-23085567778, PosCor,0, NegCor,23085567778, CorPosLog,0.000000, CorNegLog,34.426273, D,0.159515,
 s,3391, t,0.00096, Cor,-29995761482, PosCor,0, NegCor,29995761482, CorPosLog,0.000000, CorNegLog,34.804039, D,0.163060,
 s,3392, t,0.00098, Cor,-16011289114, PosCor,0, NegCor,16011289114, CorPosLog,0.000000, CorNegLog,33.898369, D,0.166605,
 s,3393, t,0.00100, Cor,3658390395, PosCor,3658390395, NegCor,0, CorPosLog,31.768560, CorNegLog,0.000000, D,0.170151,
 s,3394, t,0.00102, Cor,13086195750, PosCor,13086195750, NegCor,0, CorPosLog,33.607327, CorNegLog,0.000000, D,0.173696,
 s,3395, t,0.00104, Cor,8283223824, PosCor,8283223824, NegCor,0, CorPosLog,32.947544, CorNegLog,0.000000, D,0.177239,
 s,3396, t,0.00106, Cor,-1656359629, PosCor,0, NegCor,1656359629, CorPosLog,0.000000, CorNegLog,30.625368, D,0.180784,
 s,3397, t,0.00108, Cor,-4653961603, PosCor,0, NegCor,4653961603, CorPosLog,0.000000, CorNegLog,32.115810, D,0.184329,
 s,3398, t,0.00110, Cor,2696060974, PosCor,2696060974, NegCor,0, CorPosLog,31.328205, CorNegLog,0.000000, D,0.187875,
 s,3399, t,0.00113, Cor,12307909934, PosCor,12307909934, NegCor,0, CorPosLog,33.518864, CorNegLog,0.000000, D,0.191420,
 s,3400, t,0.00115, Cor,12655278797, PosCor,12655278797, NegCor,0, CorPosLog,33.559021, CorNegLog,0.000000, D,0.194963,
